eq           ,H (kJ/mol) ,G (kJ/mol) ,S (J/Kmol)
K(s)         ,       0   ,       0   ,     64
KCl(s)       ,     436   ,     408   ,     83
KClO3(s)     ,     391   ,     290   ,    143
KClO4(s)     ,     433   ,     304   ,    151
K2O(s)       ,     361   ,     322   ,     98
K2O2(s)      ,     496   ,     430   ,    113
KO2(s)       ,     283   ,     238   ,    117
KOH(s)       ,     425   ,     379   ,     79
KOH(aq)      ,     481   ,     440   ,      9.20
SiO2(s)      ,     911   ,     856   ,     42
SiCl4(l)     ,     687   ,     620   ,    240
Ag(s)        ,       0   ,       0   ,     43
Ag(aq)       ,     105   ,      77   ,     73
AgBr(s)      ,     100   ,      97   ,    107
AgCN(s)      ,     146   ,     164   ,     84
AgCl(s)      ,     127   ,     110   ,     96
Ag2CrO4(s)   ,     712   ,     622   ,    217
AgI(s)       ,      62   ,      66   ,    115
Ag2O(s)      ,      31   ,      11   ,    122
Ag2S(s)      ,      32   ,      40   ,    146
Na(s)        ,       0   ,       0   ,     51
Na(aq)       ,     240   ,     262   ,     59
NaBr(s)      ,     360   ,     347   ,     84
Na2CO3(s)    ,    1131   ,    1048   ,    136
NaHCO3(s)    ,     948   ,     852   ,    102
NaCl(s)      ,     411   ,     384   ,     72
NaH(s)       ,      56   ,      33   ,     40
NaI(s)       ,     288   ,     282   ,     91
NaNO3(s)     ,     467   ,     366   ,    116
Na2O(s)      ,     416   ,     377   ,     73
Na2O2(s)     ,     515   ,     451   ,     95
NaOH(s)      ,     427   ,     381   ,     64
NaOH(aq)     ,     470   ,     419   ,     50
S(s)         ,       0   ,       0   ,     32
S2(aq)       ,      33   ,      86   ,     15
S8(g)        ,     102   ,      50   ,    431
SF6(g)       ,    1209   ,    1105   ,    292
H2S(g)       ,      21   ,      34   ,    206
SO2(g)       ,     297   ,     300   ,    248
SO3(g)       ,     396   ,     371   ,    257
H2SO4(l)     ,     814   ,     690   ,    157
H2SO4(aq)    ,     909   ,     745   ,     20
Sn(s)        ,       0   ,       0   ,     52
Sn(s)        ,       2   ,       0.1 ,     44
SnO(s)       ,     285   ,     257   ,     56
SnO2(s)      ,     581   ,     520   ,     52
Sn(OH)2(s)   ,     561   ,     492   ,    155
TiCl4(g)     ,     763   ,     727   ,    355
TiO2(s)      ,     945   ,     890   ,     50
U(s)         ,       0   ,       0   ,     50
UF6(s)       ,    2137   ,    2008   ,    228
UF6(g)       ,    2113   ,    2029   ,    380
UO2(s)       ,    1084   ,    1029   ,     78
U3O8(s)      ,    3575   ,    3393   ,    282
UO3(s)       ,    1230   ,    1150   ,     99
Xe(g)        ,       0   ,       0   ,    170
XeF2(g)      ,     108   ,      48   ,    254
XeF4(s)      ,     251   ,     121   ,    146
Zn(s)        ,       0   ,       0   ,     42
ZnO(s)       ,     348   ,     318   ,     44
ZnS(s)       ,     206   ,     201   ,     58
ZnSO4(s)     ,     983   ,     874   ,    120
